"","100","104","105","106","110","114","115","116","food_mean_mean","rate_mean","food_num_mean","rate_num_mean","food_num_sum","rate_num_sum","store_num","cost_all","cost_inside","cost_outside","crash_num","scooter10810","crash_scooter","d_scooter108","income","house10811","population10811","male10811","female10811","sex_rate","post_length","class"
"1",14,38,95,185,86,4,3,0,21929.9831228224,4.75223529411765,43.3294117647059,43.3294117647059,5429236,32839014,425,22.8133647058823,14.1500941176471,8.66327058823529,1784.90823529412,71397.4376470588,2.47164510435765,92.2964705882353,1557.91764705882,101817.981176471,253152.178823529,118431.291764706,134720.887058824,88.1263516557176,8,"high"
"2",6,25,52,52,55,1,1,0,8624.01548811385,4.5109375,40.1875,40.1875,2276613,13847667,192,22.9875,14.2140625,8.7734375,1806.57291666667,71329.828125,2.49294022827083,213.859375,1497.05208333333,96627.6666666667,238333.161458333,111720.260416667,126612.901041667,88.4219916619271,8,"low"
"3",14,76,122,169,153,9,0,0,7605.29762047437,4.76353591160221,54.1049723756906,54.1049723756906,6520555,39687123,543,22.9192817679558,14.1354696132597,8.78381215469613,1850.82504604052,72504.4880294659,2.52181693328177,177.686924493554,1507.62062615101,98992.4198895028,244285.546961326,114466.569060773,129818.977900552,88.3424331476059,8,"cp"
"4",13,49,70,103,63,9,2,3,22184.9410827157,4.50608974358974,47.7948717948718,47.7948717948718,3593725,21681537,312,22.8623076923077,14.2180769230769,8.64423076923077,1832.23397435897,72491.2916666667,2.50394718642949,244.679487179487,1514.37820512821,99569.4615384615,245730.730769231,115073.301282051,130657.429487179,88.2545793551282,8,"bad"
