"","postcode","food_mean","food_num","rate","rate_num","store_num","money1","money2","money3","money4","cost_all","cost_outside","num","scooter108","income"
"1",100,14411.3034119456,45.8611111111111,4.49444444444444,257.25,36,28,7,1,0,23.04,15.37,2032,56898,1491
"2",104,14876.3214278319,45.9929577464789,4.29084507042254,255.211267605634,142,118,23,1,0,21.98,13.91,2469,80067,1373
"3",105,15008.1411910519,43.1596958174905,4.24220532319392,248.380228136882,263,214,45,3,1,23.49,15.22,1067,60744,1482
"4",106,16762.7644682417,42.5309278350515,4.25386597938144,255.39175257732,388,284,92,11,1,22.15,13.71,1825,73348,1760
"5",110,14036.5407327478,41.1349480968858,4.25121107266436,272.418685121107,289,246,37,6,0,23.71,13.69,2180,76904,1333
"6",114,15363.4311414806,52.7647058823529,4.37647058823529,272,17,14,3,0,0,23.93,14.98,1863,101709,1247
"7",115,24177.2134532135,26.2,4.64,350,5,3,2,0,0,24.6,16.84,798,48051,1017
"8",116,20138.8693408398,68,4.55,197.5,2,2,0,0,0,24.15,15.38,1964,96989,1190
