發生時間,發生地點,postcode,死亡受傷人數,車種,經度,緯度
108年07月11日 14時45分00秒,臺北市松山區市民大道5段 / 臺北市松山區東興路,105,死亡0;受傷1,自用-小客車;普通重型-機車,121.56582,25.048203
108年07月11日 15時20分00秒,臺北市松山區敦化北路 / 臺北市松山區敦化北路,105,死亡0;受傷1,自用-小客車;普通重型-機車,121.549217,25.05379
108年07月11日 15時30分00秒,臺北市中正區臨沂街63巷7號前0.0公尺,100,死亡0;受傷1,租賃車-小客車;行人-人,121.52931399999999,25.036558
108年07月11日 15時34分00秒,臺北市中山區北安路575-3號前0.0公尺,104,死亡0;受傷1,自用-小客車;普通重型-機車;自用-小客車,121.548502,25.081493
108年07月11日 16時00分00秒,臺北市大同區環河北路1段 / 臺北市大同區歸綏街,103,死亡0;受傷1,普通重型-機車,121.508472,25.058055
108年07月11日 16時20分00秒,臺北市信義區崇德街 / 臺北市信義區富陽街,110,死亡0;受傷1,普通重型-機車;自用-小客車,121.556201,25.023809
108年07月11日 16時48分00秒,臺北市信義區松隆路 / 臺北市信義區虎林街,110,死亡0;受傷1,自用-小客車;普通重型-機車,121.57595900000001,25.048495000000003
108年07月11日 17時00分00秒,臺北市北投區大度路1段2號前0.0公尺,112,死亡0;受傷1,普通重型-機車;普通重型-機車,121.4726,25.126629
108年07月11日 17時00分00秒,臺北市信義區松山路 / 臺北市信義區松山路,110,死亡0;受傷1,行人-人;自用-小客車,121.57786000000002,25.046622
108年07月11日 17時04分00秒,臺北市松山區穿越道附近,105,死亡0;受傷1,計程車-小客車;行人-人,121.56358300000001,25.057488
108年07月11日 17時15分00秒,臺北市信義區基隆路1段 / 臺北市信義區基隆路1段,110,死亡0;受傷1,普通重型-機車;普通重型-機車,121.565481,25.042645
108年07月11日 17時28分00秒,臺北市萬華區西園路2段 / 臺北市萬華區莒光路,108,死亡0;受傷1,自用-小客車;普通重型-機車,121.496922,25.031082
108年07月11日 18時35分00秒,臺北市北投區永興路1段前0.0公尺,112,死亡0;受傷1,租賃車-小客車;普通重型-機車,121.49885900000001,25.138028
108年07月11日 18時50分00秒,臺北市士林區故宮路 / 臺北市士林區力行街,111,死亡0;受傷2,自用-小客車;普通重型-機車;乘客-人,121.548446,25.095905
108年07月11日 19時09分00秒,臺北市大安區基隆路2段 / 臺北市大安區和平東路3段,106,死亡0;受傷1,普通重型-機車;普通重型-機車,121.552448,25.024333
