發生時間,發生地點,postcode,死亡受傷人數,車種,經度,緯度
108年01月01日 00時50分00秒,臺北市內湖區安康路414巷2號前0.0公尺,114,死亡0;受傷2,自用-小客車;普通重型-機車;乘客-人,121.614618,25.066187
108年01月01日 01時00分00秒,臺北市文山區萬芳路9-1號前0.0公尺,116,死亡0;受傷2,自用-小客車;自用-小客車;租賃車-小客車;乘客-人,121.570526,24.998310999999998
108年01月01日 01時30分00秒,臺北市北投區大度路1段 / 臺北市北投區中央北路2段,112,死亡0;受傷1,普通重型-機車;普通重型-機車,121.48606399999998,25.122059
108年01月01日 01時47分00秒,臺北市中山區民生東路2段157號前0.0公尺,104,死亡0;受傷1,自用-小客車;普通重型-機車,121.53593000000001,25.057989000000003
108年01月01日 02時05分00秒,臺北市北投區竹子湖路前0.0公尺,112,死亡0;受傷2,普通重型-機車;乘客-人,121.53938400000001,25.171668
108年01月01日 02時20分00秒,臺北市中山區民權東路3段前0.0公尺,104,死亡0;受傷1,自用-小客車;普通重型-機車,121.537269,25.062684
108年01月01日 02時37分00秒,臺北市大安區和平東路1段 / 臺北市大安區青田街,106,死亡0;受傷2,計程車-小客車;普通重型-機車;普通重型-機車,121.531973,25.026367999999998
108年01月01日 03時56分00秒,臺北市大同區民權西路 / 臺北市大同區重慶北路3段,103,死亡0;受傷1,救護車-特種車;普通重型-機車,121.513503,25.063131
108年01月01日 04時27分00秒,臺北市文山區木柵路4段98號前0.0公尺,116,死亡0;受傷2,自用-小客車;乘客-人;乘客-人,121.576408,24.999847
108年01月01日 06時08分00秒,臺北市萬華區忠孝西路2段 / 臺北市萬華區西寧南路,108,死亡0;受傷2,行人-人;普通重型-機車,121.50755,25.048491000000002
108年01月01日 06時15分00秒,臺北市文山區恆光橋上北往南,116,死亡0;受傷2,普通重型-機車;腳踏自行車-慢車,121.567355,24.981191
108年01月01日 06時40分00秒,臺北市中山區新生北路2段前0.0公尺,104,死亡0;受傷1,計程車-小客車;普通重型-機車,121.527823,25.060278
108年01月01日 06時55分00秒,臺北市士林區中山北路5段376號前0.0公尺,111,死亡0;受傷2,計程車-小客車;乘客-人;乘客-人;乘客-人,121.527483,25.090019
108年01月01日 08時15分00秒,臺北市文山區興隆路1段13號前0.0公尺,116,死亡0;受傷2,自用-小客車;普通重型-機車;乘客-人,121.539308,25.004143
108年01月01日 08時43分00秒,臺北市萬華區興義街 / 臺北市萬華區西園路2段,108,死亡0;受傷1,普通重型-機車;自用-大貨車,121.491923,25.026699
108年01月01日 09時20分00秒,臺北市文山區景興路 / 臺北市文山區景興路,116,死亡0;受傷2,普通重型-機車;普通重型-機車,121.542818,24.996931
108年01月01日 09時26分00秒,臺北市大安區基隆路3段前0.0公尺,106,死亡0;受傷1,民營公車-大客車;大型重型2(250-550C.C.)-機車,121.547526,25.019697
108年01月01日 09時31分00秒,臺北市中山區林森北路 / 臺北市中山區錦州街,104,死亡0;受傷1,計程車-小客車;普通重型-機車,121.52556100000001,25.060305
108年01月01日 09時42分00秒,臺北市南港區南港路2段 / 臺北市南港區南港路2段,115,死亡0;受傷1,自用-小客車;普通重型-機車,121.599021,25.053825
108年01月01日 09時59分00秒,臺北市內湖區民權東路6段 / 臺北市內湖區行忠路,114,死亡0;受傷1,普通重型-機車;自用-小客車,121.581002,25.067624
108年01月01日 10時00分00秒,臺北市中正區汀州路2段 / 臺北市中正區汀州路2段,100,死亡0;受傷2,普通重型-機車;普通重型-機車;普通重型-機車,121.522278,25.023723
108年01月01日 10時10分00秒,臺北市內湖區安康路195號前0.0公尺,114,死亡0;受傷1,電動自行車-慢車;普通重型-機車,121.611597,25.066089
108年01月01日 10時27分00秒,臺北市中山區市民大道2段 / 臺北市中山區長安東路1段,104,死亡0;受傷1,計程車-小客車;普通重型-機車,121.527744,25.047036
108年01月01日 11時13分00秒,臺北市萬華區環河南路3段 / 臺北市萬華區西園路2段,108,死亡0;受傷1,自用-小客車;普通重型-機車,121.49094199999999,25.02433
108年01月01日 11時15分00秒,臺北市信義區松德路275號前0.0公尺,110,死亡0;受傷1,自用-小客車;普通重型-機車,121.574243,25.032054000000002
108年01月01日 12時20分00秒,臺北市南港區重陽路 / 臺北市南港區重陽路,115,死亡0;受傷2,自用-小客車;普通重型-機車;乘客-人,121.607685,25.058338
108年01月01日 12時30分00秒,臺北市松山區敦化北路260號前0.0公尺,105,死亡0;受傷1,自用-小客車;計程車-小客車,121.55003400000001,25.060869
108年01月01日 12時54分00秒,臺北市北投區東華街1段 / 臺北市北投區東陽街,112,死亡0;受傷3,普通重型-機車;普通重型-機車;乘客-人,121.517478,25.112282
108年01月01日 12時55分00秒,臺北市中正區福州街14號前0.0公尺,100,死亡0;受傷1,自用-小客車;普通重型-機車,121.51863700000001,25.0288
108年01月01日 14時27分00秒,臺北市大同區延平北路3段 / 臺北市大同區伊寧街,103,死亡0;受傷1,計程車-小客車;普通重型-機車;自用-小客車,121.51110600000001,25.064622
108年01月01日 14時30分00秒,臺北市北投區中和街 / 臺北市北投區中和街,112,死亡0;受傷2,普通重型-機車;普通重型-機車,121.49833899999999,25.142256
108年01月01日 15時20分00秒,臺北市士林區花卉村前,111,死亡0;受傷1,自用-小客車;普通重型-機車;自用-小客車,121.497751,25.094676
108年01月01日 15時30分00秒,臺北市中正區中華路2段45號前0.0公尺,100,死亡0;受傷1,普通重型-機車;普通重型-機車,121.50623600000002,25.03507
108年01月01日 15時30分00秒,臺北市北投區泉源路 / 臺北市北投區新民路,112,死亡0;受傷1,自用-小客車;普通重型-機車,121.50516200000001,25.138371
108年01月01日 15時40分00秒,臺北市文山區興隆路3段112巷前0.0公尺,116,死亡0;受傷1,普通重型-機車;普通重型-機車;自用-小客車,121.557171,24.998759
108年01月01日 15時51分00秒,臺北市萬華區華中橋前0.0公尺,108,死亡0;受傷2,普通重型-機車;普通重型-機車,121.49538899999999,25.012614000000003
108年01月01日 15時59分00秒,臺北市中山區民權東路1段 / 臺北市中山區民權東路1段,104,死亡0;受傷1,自用-小客車;普通重型-機車,121.523602,25.062178
108年01月01日 16時13分00秒,臺北市中正區南昌路1段 / 臺北市中正區南海路,100,死亡0;受傷1,計程車-小客車;普通重型-機車,121.516326,25.032367999999998
108年01月01日 17時03分00秒,臺北市中正區廈門街 / 臺北市中正區廈門街,100,死亡0;受傷1,自用-小客車;普通重型-機車,121.51743799999998,25.023426
108年01月01日 18時10分00秒,臺北市中正區忠孝東路2段10號前0.0公尺,100,死亡0;受傷4,自用-小貨車(含客、貨兩用);計程車-小客車;乘客-人;乘客-人,121.527199,25.043792
108年01月01日 18時17分00秒,臺北市信義區和平東路3段509巷前0.0公尺,110,死亡0;受傷2,普通重型-機車;行人-人,121.560526,25.017616
108年01月01日 18時20分00秒,臺北市文山區木新路3段45巷10弄前0.0公尺,116,死亡0;受傷2,計程車-小客車;腳踏自行車-慢車;腳踏自行車-慢車,121.563771,24.981206
108年01月01日 18時24分00秒,臺北市大同區重慶北路1段 / 臺北市大同區長安西路,103,死亡0;受傷1,租賃車-小客車;行人-人,121.513878,25.051599
108年01月01日 19時00分00秒,臺北市中正區思源街1號前0.0公尺,100,死亡0;受傷1,自用-小客車;普通重型-機車,121.531062,25.013953
108年01月01日 19時10分00秒,臺北市信義區永吉路 / 臺北市信義區永吉路,110,死亡0;受傷1,自用-小客車;普通重型-機車,121.574151,25.043810999999998
108年01月01日 19時21分00秒,臺北市大安區辛亥路3段 / 臺北市大安區芳蘭路,106,死亡0;受傷1,自用-小客車;普通重型-機車,121.54898700000001,25.016779999999997
108年01月01日 19時22分00秒,臺北市中山區新生北路3段 / 臺北市中山區民權東路2段,104,死亡0;受傷1,計程車-小客車;普通重型-機車,121.527883,25.062742
108年01月01日 19時30分00秒,臺北市松山區健康路 / 臺北市松山區健康路,105,死亡0;受傷1,自用-小客車;行人-人,121.55295,25.053339
108年01月01日 20時03分00秒,臺北市文山區萬美街1段前0.0公尺,116,死亡0;受傷1,普通重型-機車;民營公車-大客車,121.566781,25.002064
108年01月01日 20時17分00秒,臺北市北投區中央北路3段 / 臺北市北投區中央北路3段,112,死亡0;受傷1,計程車-小客車;大型重型2(250-550C.C.)-機車,121.480631,25.136305
108年01月01日 20時37分00秒,臺北市北投區實踐街82巷前0.0公尺,112,死亡0;受傷2,普通重型-機車;普通重型-機車;乘客-人,121.510827,25.114898
108年01月01日 20時54分00秒,臺北市萬華區萬大路486巷63號前0.0公尺,108,死亡0;受傷1,自用-小客車;行人-人,121.49575,25.020545000000002
108年01月01日 21時09分00秒,臺北市信義區穿越道附近,110,死亡0;受傷2,普通重型-機車;行人-人,121.58408899999999,25.038428
108年01月01日 21時16分00秒,臺北市中山區長安東路1段 / 臺北市中山區天津街,104,死亡0;受傷1,計程車-小客車;普通重型-機車,121.52283999999999,25.049554999999998
108年01月01日 21時35分00秒,臺北市萬華區環河南路2段 / 臺北市萬華區和平西路3段,108,死亡0;受傷1,行人-人;普通重型-機車,121.49423999999999,25.035322
108年01月01日 21時51分00秒,臺北市信義區大道路 / 臺北市信義區林口街,110,死亡0;受傷1,普通輕型-機車;計程車-小客車,121.581397,25.04271
108年01月01日 22時00分00秒,臺北市大安區敦化南路1段 / 臺北市大安區仁愛路4段,106,死亡0;受傷2,普通重型-機車;行人-人,121.54858200000001,25.038714000000002
108年01月01日 22時18分00秒,臺北市大同區市民大道1段 / 臺北市大同區市民大道1段,103,死亡0;受傷2,普通重型-機車;普通重型-機車;普通重型-機車;普通重型-機車,121.51862,25.048513
108年01月01日 22時18分00秒,臺北市信義區吳興街281巷34號前0.0公尺,110,死亡0;受傷2,普通重型-機車;行人-人,121.56503300000001,25.026432999999997
108年01月01日 22時21分00秒,臺北市南港區南港路2段 / 臺北市南港區向陽路,115,死亡0;受傷1,自用-小客車;普通重型-機車,121.59473600000001,25.054444
108年01月01日 23時15分00秒,臺北市南港區東新街 / 臺北市南港區忠孝東路6段,115,死亡0;受傷1,普通重型-機車;自用-小貨車(含客、貨兩用),121.58549,25.046712
108年01月01日 23時21分00秒,臺北市大同區鄭州路 / 臺北市大同區西寧北路,103,死亡0;受傷2,計程車-小客車;普通重型-機車;普通重型-機車,121.50821100000002,25.050614000000003
108年01月02日 01時10分00秒,臺北市南港區興中路 / 臺北市南港區南港路1段,115,死亡0;受傷2,行人-人;普通重型-機車,121.60760400000001,25.053956
108年01月02日 01時16分00秒,臺北市信義區忠孝東路5段 / 臺北市信義區忠孝東路5段,110,死亡0;受傷1,普通重型-機車;計程車-小客車,121.574124,25.040764000000003
108年01月02日 05時30分00秒,臺北市信義區松壽路12號前0.0公尺,110,死亡0;受傷1,自用-小客車;普通重型-機車,121.565721,25.035876000000002
108年01月02日 06時00分00秒,臺北市中山區民權東路2段18號前0.0公尺,104,死亡0;受傷1,普通重型-機車;自用-小客車,121.528421,25.062429
108年01月02日 06時29分00秒,臺北市大安區31號對面(大安森林公園),106,死亡0;受傷2,普通輕型-機車;行人-人,121.53761499999999,25.032311
108年01月02日 07時28分00秒,臺北市大安區辛亥路3段310號前0.0公尺,106,死亡0;受傷2,普通重型-機車;普通重型-機車,121.55238100000001,25.014548
108年01月02日 07時48分00秒,臺北市內湖區內湖路1段 / 臺北市內湖區內湖路1段,114,死亡0;受傷1,普通重型-機車;計程車-小客車,121.568353,25.082310999999997
108年01月02日 07時49分00秒,臺北市大安區復興南路2段197號前0.0公尺,106,死亡0;受傷2,普通重型-機車;普通重型-機車,121.54373500000001,25.026373
108年01月02日 07時50分00秒,臺北市北投區立農街2段296號前0.0公尺,112,死亡0;受傷2,普通重型-機車;普通輕型-機車,121.51653999999999,25.118564000000003
108年01月02日 08時01分00秒,臺北市大同區大龍街 / 臺北市大同區酒泉街,103,死亡0;受傷1,自用-小客車;普通重型-機車,121.51588400000001,25.071965
108年01月02日 08時05分00秒,臺北市文山區木柵路5段43巷前0.0公尺,116,死亡0;受傷1,普通重型-機車,121.58734199999999,25.004181
108年01月02日 08時13分00秒,臺北市文山區溪洲街前0.0公尺,116,死亡0;受傷1,自用-小客車;普通重型-機車;自用-小客車,121.534922,25.009498999999998
108年01月02日 08時15分00秒,臺北市大安區敦化南路2段273號前0.0公尺,106,死亡0;受傷1,自用-小客車;大型重型2(250-550C.C.)-機車,121.54895400000001,25.024760999999998
108年01月02日 08時34分00秒,臺北市松山區長安東路2段292號前0.0公尺,105,死亡0;受傷1,自用-小客車;普通重型-機車,121.54520600000001,25.048134
108年01月02日 08時35分00秒,臺北市松山區民生東路4段 / 臺北市松山區光復北路,105,死亡0;受傷1,自用-小客車;普通重型-機車,121.555219,25.058272
108年01月02日 08時35分00秒,臺北市內湖區文德路 / 臺北市內湖區陽光街,114,死亡0;受傷1,自用-小客車;普通重型-機車,121.58160500000001,25.074738
108年01月02日 08時37分00秒,臺北市大同區重慶北路3段 / 臺北市大同區民族西路,103,死亡0;受傷2,普通重型-機車;普通重型-機車,121.514854,25.068009
108年01月02日 08時40分00秒,臺北市文山區羅斯福路6段 / 臺北市文山區景仁街,116,死亡0;受傷1,自用-小客車;普通重型-機車,121.53815,24.997537
108年01月02日 08時52分00秒,臺北市大安區仁愛路4段前0.0公尺,106,死亡0;受傷1,普通重型-機車;普通重型-機車;普通重型-機車,121.547956,25.038114999999998
108年01月02日 09時00分00秒,臺北市內湖區安康路 / 臺北市內湖區安康路,114,死亡0;受傷2,自用-小客車;普通重型-機車;乘客-人,121.614655,25.066738
108年01月02日 09時05分00秒,臺北市南港區三重路 / 臺北市南港區三重路,115,死亡0;受傷2,普通重型-機車;行人-人,121.61423799999999,25.059853
108年01月02日 09時07分00秒,臺北市萬華區環河南路2段 / 臺北市萬華區環河南路2段,108,死亡0;受傷1,普通重型-機車;計程車-小客車,121.491914,25.033237
108年01月02日 09時10分00秒,臺北市中正區廈門街113巷6號前0.0公尺,100,死亡0;受傷1,自用-小客車;普通重型-機車,121.51783999999999,25.023391
108年01月02日 09時40分00秒,臺北市大安區瑞安街89號前0.0公尺,106,死亡0;受傷1,自用-小客車;普通輕型-機車,121.540733,25.027654000000002
108年01月02日 10時05分00秒,臺北市北投區大度路1段 / 臺北市北投區大業路,112,死亡0;受傷1,普通重型-機車,121.49961100000002,25.120967999999998
108年01月02日 10時18分00秒,臺北市大同區延平北路3段 / 臺北市大同區延平北路3段,103,死亡0;受傷1,行人-人;普通重型-機車;租賃車-小客車,121.51091399999999,25.067839000000003
108年01月02日 10時33分00秒,臺北市萬華區康定路 / 臺北市萬華區內江街,108,死亡0;受傷1,普通重型-機車;普通重型-機車,121.50228100000001,25.041698999999998
108年01月02日 10時40分00秒,臺北市中山區新生北路2段 / 臺北市中山區林森北路,104,死亡0;受傷1,租賃車-小客車;普通重型-機車,121.52539099999998,25.056532
108年01月02日 11時00分00秒,臺北市大安區辛亥路1段 / 臺北市大安區羅斯福路3段,106,死亡0;受傷1,計程車-小客車;普通重型-機車,121.527533,25.018758
108年01月02日 11時30分00秒,臺北市士林區天母西路 / 臺北市士林區天母西路,111,死亡0;受傷2,自用-小客車;普通重型-機車;乘客-人,121.525209,25.11881
108年01月02日 11時32分00秒,臺北市文山區興隆路1段 / 臺北市文山區景明街,116,死亡0;受傷2,普通重型-機車;普通重型-機車,121.541974,25.001929
108年01月02日 11時40分00秒,臺北市大同區鄭州路 / 臺北市大同區塔城街,103,死亡0;受傷1,普通重型-機車;普通重型-機車,121.51053200000001,25.050289000000003
108年01月02日 11時47分00秒,臺北市內湖區基湖路1號前0.0公尺,114,死亡0;受傷3,普通重型-機車;普通重型-機車;普通重型-機車,121.5654,25.081916
108年01月02日 12時06分00秒,臺北市信義區松仁路 / 臺北市信義區松勤街,110,死亡0;受傷1,租賃車-小客車;普通重型-機車,121.56834199999999,25.03187
108年01月02日 12時14分00秒,臺北市信義區基隆路1段102巷前0.0公尺,110,死亡0;受傷1,計程車-小客車;普通重型-機車,121.566624,25.044857999999998
108年01月02日 12時34分00秒,臺北市大同區民權西路前0.0公尺,103,死亡0;受傷2,普通重型-機車;普通重型-機車;計程車-小客車,121.511104,25.063085
108年01月02日 13時24分00秒,臺北市士林區延平北路6段 / 臺北市士林區社正路,111,死亡0;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車,121.50893899999998,25.088162
108年01月02日 13時27分00秒,臺北市萬華區環河南路1段 / 臺北市萬華區峨眉街,108,死亡0;受傷1,普通重型-機車;普通重型-機車,121.50159,25.044787
108年01月02日 13時33分00秒,臺北市內湖區環山路2段 / 臺北市內湖區環山路2段,114,死亡0;受傷1,自用-小客車;普通重型-機車,121.576109,25.08444
108年01月02日 14時08分00秒,臺北市南港區研究院路2段128號前0.0公尺,115,死亡0;受傷1,自用-小貨車(含客、貨兩用);營業用-曳引車,121.61749499999999,25.0409
108年01月02日 14時59分00秒,臺北市信義區忠孝東路5段 / 臺北市信義區永吉路,110,死亡0;受傷1,普通重型-機車;自用-小貨車(含客、貨兩用),121.56745500000001,25.042448
108年01月02日 15時00分00秒,臺北市內湖區內湖路2段 / 臺北市內湖區內湖路2段,114,死亡0;受傷1,普通重型-機車;普通重型-機車,121.58113600000001,25.082203
108年01月02日 16時11分00秒,臺北市中正區中華路2段33號前0.0公尺,100,死亡0;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車,121.5066,25.036017
108年01月02日 16時25分00秒,臺北市松山區民權東路5段 / 臺北市松山區撫遠街,105,死亡0;受傷1,普通重型-機車;計程車-小客車;自用-小貨車(含客、貨兩用),121.56605800000001,25.06332
108年01月02日 17時00分00秒,臺北市北投區中央北路3段48號前0.0公尺,112,死亡0;受傷2,自用-小客車;普通重型-機車;營業用-曳引車;乘客-人,121.485299,25.138289
108年01月02日 17時10分00秒,臺北市南港區東新街 / 臺北市南港區忠孝東路6段,115,死亡0;受傷1,行人-人;普通重型-機車,121.585182,25.047979
108年01月02日 17時16分00秒,臺北市南港區南港路3段 / 臺北市南港區八德路4段,115,死亡0;受傷1,自用-小客車;電動自行車-慢車,121.582697,25.051709
108年01月02日 17時25分00秒,臺北市大安區仁愛路4段前0.0公尺,106,死亡0;受傷1,普通重型-機車,121.545969,25.038098
108年01月02日 17時25分00秒,臺北市文山區福興路 / 臺北市文山區福興路,116,死亡0;受傷1,自用-小客車;普通重型-機車,121.550297,25.003498999999998
108年01月02日 17時30分00秒,臺北市信義區忠孝東路5段 / 臺北市信義區松仁路,110,死亡0;受傷1,自用-小客車;普通重型-機車,121.568431,25.041082
108年01月02日 17時41分00秒,臺北市中山區建國北路2段 / 臺北市中山區民生東路2段,104,死亡0;受傷1,自用-小客車;自用-小貨車(含客、貨兩用);乘客-人,121.53603899999999,25.058818
108年01月02日 17時42分00秒,臺北市內湖區港墘路107號前0.0公尺,114,死亡0;受傷1,普通重型-機車;行人-人,121.577471,25.080131
108年01月02日 17時50分00秒,臺北市內湖區內湖路1段285巷68弄前0.0公尺,114,死亡0;受傷1,普通重型-機車;自用-小客車,121.56697,25.085573
108年01月02日 17時55分00秒,臺北市中山區中山北路2段145號前0.0公尺,104,死亡0;受傷2,普通重型-機車;普通重型-機車,121.522925,25.061961
108年01月02日 18時12分00秒,臺北市中正區貴陽街1段前0.0公尺,100,死亡0;受傷2,行人-人;普通重型-機車,121.51461299999998,25.038607
108年01月02日 18時15分00秒,臺北市大安區基隆路3段前0.0公尺,106,死亡0;受傷2,普通重型-機車;普通重型-機車,121.545846,25.018688
108年01月02日 18時28分00秒,臺北市信義區和平東路3段527號前0.0公尺,110,死亡0;受傷2,行人-人;普通重型-機車;普通重型-機車,121.56057,25.016627
108年01月02日 18時35分00秒,臺北市北投區學園路1號前0.0公尺,112,死亡0;受傷2,普通重型-機車;普通重型-機車;自用-小客車,121.465979,25.129746
108年01月02日 18時41分00秒,臺北市北投區學園路1號前0.0公尺,112,死亡0;受傷3,普通重型-機車;普通重型-機車;自用-小客車;乘客-人,121.465975,25.129746
108年01月02日 18時50分00秒,臺北市信義區基隆路汽機車混合地下道前0.0公尺,110,死亡0;受傷1,普通重型-機車,121.562425,25.037808
108年01月02日 19時00分00秒,臺北市信義區基隆路汽機車混合地下道前0.0公尺,110,死亡0;受傷4,普通重型-機車;普通重型-機車;普通重型-機車;乘客-人,121.562946,25.0387
108年01月02日 19時04分00秒,臺北市中山區松江路 / 臺北市中山區民族東路,104,死亡0;受傷1,自用-小客車;普通重型-機車;普通重型-機車,121.53336100000001,25.068227
108年01月02日 19時06分00秒,臺北市文山區羅斯福路6段98號前0.0公尺,116,死亡0;受傷1,自用-小客車;普通重型-機車,121.540273,24.998077
108年01月02日 19時20分00秒,臺北市大同區國道1號 25公里300.0公尺處北側向中線,103,死亡0;受傷1,營業用-大貨車;自用-小客車,121.513535,25.077642
108年01月02日 19時30分00秒,臺北市松山區八德路2段441號前0.0公尺,105,死亡0;受傷1,計程車-小客車;普通重型-機車;計程車-小客車,121.54713500000001,25.048351
108年01月02日 19時43分00秒,臺北市大同區大龍街36號前0.0公尺,103,死亡0;受傷1,普通重型-機車;行人-人,121.51601200000002,25.064372
108年01月02日 20時56分00秒,臺北市中山區中山北路3段前0.0公尺,104,死亡0;受傷1,計程車-小客車;普通重型-機車,121.513901,25.072031
108年01月02日 21時14分00秒,臺北市萬華區萬板大橋前0.0公尺,108,死亡0;受傷1,普通重型-機車;普通重型-機車,121.48881499999999,25.030634
108年01月02日 21時22分00秒,臺北市大安區忠孝東路4段 / 臺北市大安區忠孝東路4段,106,死亡0;受傷2,普通重型-機車;普通重型-機車;乘客-人,121.552856,25.041408999999998
108年01月02日 21時48分00秒,臺北市南港區富康街 / 臺北市南港區研究院路1段,115,死亡0;受傷1,營業用-小貨車(含客、貨兩用);行人-人,121.617002,25.051854000000002
108年01月02日 21時51分00秒,臺北市中正區中華路1段 / 臺北市中正區武昌街1段,100,死亡0;受傷2,普通重型-機車;行人-人,121.50798400000001,25.044683
108年01月02日 22時15分00秒,臺北市大同區淡水河橋下堤外便道PD10M處,103,死亡0;受傷1,腳踏自行車-慢車;行人-人,121.50823600000001,25.076818
108年01月02日 22時20分00秒,臺北市士林區前港街前0.0公尺,111,死亡0;受傷1,普通重型-機車;普通重型-機車,121.518557,25.08514
108年01月02日 22時21分00秒,臺北市文山區木新路3段前0.0公尺,116,死亡0;受傷1,計程車-小客車;普通重型-機車,121.55486699999999,24.980183
108年01月02日 22時42分00秒,臺北市中山區中山北路3段 / 臺北市中山區德惠街,104,死亡0;受傷1,自用-小客車;普通重型-機車,121.52253700000001,25.066796
108年01月02日 22時50分00秒,臺北市大同區民權西路 / 臺北市大同區民權西路,103,死亡0;受傷1,租賃車-小客車;普通重型-機車,121.512126,25.063848999999998
108年01月02日 22時50分00秒,臺北市中正區汀州路1段210號前0.0公尺,100,死亡0;受傷2,普通重型-機車;行人-人;普通重型-機車;普通重型-機車,121.5095,25.02805
108年01月02日 23時30分00秒,臺北市北投區石牌路1段139號前0.0公尺,112,死亡0;受傷1,計程車-小客車;普通重型-機車,121.514175,25.114991
108年01月03日 00時30分00秒,臺北市中山區錦州街4巷前0.0公尺,104,死亡0;受傷1,自用-小客車;普通重型-機車,121.523602,25.060233
108年01月03日 00時45分00秒,臺北市中正區中華路2段 / 臺北市中正區廣州街,100,死亡0;受傷5,自用-小客車;救護車-特種車;乘客-人;乘客-人;乘客-人,121.5066,25.036017
108年01月03日 02時02分00秒,臺北市士林區承德路4段 / 臺北市士林區大南路,111,死亡0;受傷2,普通重型-機車;普通重型-機車,121.521499,25.088788
108年01月03日 03時56分00秒,臺北市大安區大安路1段 / 臺北市大安區敦化南路1段,106,死亡0;受傷1,租賃車-小客車;計程車-小客車,121.54608200000001,25.039767
108年01月03日 07時18分00秒,臺北市大安區四維路160巷6號前0.0公尺,106,死亡0;受傷1,自用-小客車;普通重型-機車,121.547725,25.028709
108年01月03日 07時50分00秒,臺北市中正區牯嶺街 / 臺北市中正區牯嶺街,100,死亡0;受傷1,自用-小客車;普通重型-機車,121.51901200000002,25.026
108年01月03日 08時05分00秒,臺北市松山區南京東路4段107號前0.0公尺,105,死亡0;受傷1,自用-小貨車(含客、貨兩用);普通輕型-機車;普通重型-機車,121.555016,25.051701
108年01月03日 08時14分00秒,臺北市文山區懷恩隧道前0.0公尺,116,死亡0;受傷1,普通重型-機車;自用-小客車,121.551643,24.992544
108年01月03日 08時25分00秒,臺北市士林區通河西街1段前0.0公尺,111,死亡0;受傷1,普通重型-機車;自用-小客車,121.513098,25.083722
108年01月03日 08時29分00秒,臺北市內湖區康寧路3段 / 臺北市內湖區成功路5段,114,死亡0;受傷3,普通重型-機車;行人-人;乘客-人,121.60748799999999,25.073523
108年01月03日 08時41分00秒,臺北市文山區新光路2段前0.0公尺,116,死亡0;受傷1,普通重型-機車;自用-小客車,121.576613,24.996491
108年01月03日 09時10分00秒,臺北市信義區基隆路汽機車混合地下道前0.0公尺,110,死亡0;受傷1,普通重型-機車,121.56223999999999,25.037077
108年01月03日 10時00分00秒,臺北市南港區研究院路1段 / 臺北市南港區研究院路1段,115,死亡0;受傷1,自用-小客車;行人-人,121.616018,25.048678
108年01月03日 10時00分00秒,臺北市信義區基隆路車行地下道前0.0公尺,110,死亡0;受傷1,自用-小客車;自用-小客車,121.562946,25.0387
108年01月03日 10時14分00秒,臺北市信義區松壽路 / 臺北市信義區市府路,110,死亡0;受傷1,普通重型-機車;自用-小客車,121.56362299999999,25.035904000000002
108年01月03日 10時23分00秒,臺北市中正區汀州路1段239號前0.0公尺,100,死亡0;受傷1,自用-大貨車;普通重型-機車,121.51316899999999,25.026419
108年01月03日 11時46分00秒,臺北市萬華區環河南路1段 / 臺北市萬華區成都路,108,死亡0;受傷1,普通重型-機車,121.50081599999999,25.043984
108年01月03日 12時02分00秒,臺北市信義區莊敬路323號前0.0公尺,110,死亡0;受傷1,自用-小客車;普通重型-機車;乘客-人,121.5636,25.028081
108年01月03日 12時08分00秒,臺北市大安區大安路1段 / 臺北市大安區敦化南路1段,106,死亡0;受傷1,普通重型-機車;自用-小客車;自用-小客車,121.546095,25.040557
108年01月03日 12時12分00秒,臺北市南港區東新街118巷79號前0.0公尺,115,死亡0;受傷1,普通重型-機車;自用-小貨車(含客、貨兩用),121.589514,25.045694
108年01月03日 12時15分00秒,臺北市信義區忠孝東路5段 / 臺北市信義區忠孝東路5段,110,死亡0;受傷1,普通重型-機車;普通重型-機車,121.583418,25.040737
108年01月03日 12時24分00秒,臺北市士林區基河路前0.0公尺,111,死亡0;受傷1,計程車-小客車;行人-人,121.52503600000001,25.085431
108年01月03日 12時37分00秒,臺北市中正區汀州路2段 / 臺北市中正區金門街,100,死亡0;受傷1,自用-小客車;電動自行車-慢車,121.503782,25.031136
108年01月03日 12時46分00秒,臺北市士林區愛富二街7號前0.0公尺,111,死亡0;受傷2,普通重型-機車;行人-人,121.54440600000001,25.138629
108年01月03日 13時05分00秒,臺北市萬華區和平西路3段235號前0.0公尺,108,死亡0;受傷1,計程車-小客車;大型重型1(550C.C.以上)-機車,121.49584499999999,25.035631
108年01月03日 13時10分00秒,臺北市中山區中山北路2段 / 臺北市中山區長春路,104,死亡0;受傷1,普通輕型-機車;普通重型-機車,121.52271100000002,25.055
108年01月03日 13時10分00秒,臺北市中山區民權東路2段24號前0.0公尺,104,死亡0;受傷1,計程車-小客車;普通重型-機車,121.52849499999999,25.062425
108年01月03日 13時34分00秒,臺北市文山區木柵路4段77號前0.0公尺,116,死亡0;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車,121.57191100000001,24.995914000000003
108年01月03日 13時48分00秒,臺北市內湖區金湖路 / 臺北市內湖區金湖路,114,死亡0;受傷1,租賃車-小客車;普通重型-機車,121.595735,25.083506
108年01月03日 14時05分00秒,臺北市信義區松壽路 / 臺北市信義區無名巷,110,死亡0;受傷1,自用-小客車;普通重型-機車,121.566281,25.035866
