city,name,code
高雄市,阿蓮區,822
高雄市,田寮區,823
高雄市,燕巢區,824
高雄市,橋頭區,825
高雄市,梓官區,826
高雄市,彌陀區,827
高雄市,永安區,828
高雄市,湖內區,829
高雄市,鳳山區,830
高雄市,大寮區,831
高雄市,林園區,832
高雄市,鳥松區,833
高雄市,大樹區,840
高雄市,旗山區,842
高雄市,美濃區,843
高雄市,六龜區,844
高雄市,內門區,845
高雄市,杉林區,846
高雄市,甲仙區,847
高雄市,桃源區,848
高雄市,那瑪夏區,849
高雄市,茂林區,851
高雄市,茄萣區,852
南海諸島,東沙,817
南海諸島,南沙,819
澎湖縣,馬公,880
澎湖縣,西嶼,881
澎湖縣,望安,882
澎湖縣,七美,883
澎湖縣,白沙,884
澎湖縣,湖西,885
屏東縣,屏東,900
屏東縣,三地門,901
屏東縣,霧臺,902
屏東縣,瑪家,903
屏東縣,九如,904
屏東縣,里港,905
屏東縣,高樹,906
屏東縣,鹽埔,907
屏東縣,長治,908
屏東縣,麟洛,909
屏東縣,竹田,911
屏東縣,內埔,912
屏東縣,萬丹,913
屏東縣,潮州,920
屏東縣,泰武,921
屏東縣,來義,922
屏東縣,萬巒,923
屏東縣,崁頂,924
屏東縣,新埤,925
屏東縣,南州,926
屏東縣,林邊,927
屏東縣,東港,928
屏東縣,琉球,929
屏東縣,佳冬,931
屏東縣,新園,932
屏東縣,枋寮,940
屏東縣,枋山,941
屏東縣,春日,942
屏東縣,獅子,943
屏東縣,車城,944
屏東縣,牡丹,945
屏東縣,恆春,946
屏東縣,滿州,947
臺東縣,臺東,950
臺東縣,綠島,951
臺東縣,蘭嶼,952
臺東縣,延平,953
臺東縣,卑南,954
臺東縣,鹿野,955
臺東縣,關山,956
臺東縣,海端,957
臺東縣,池上,958
臺東縣,東河,959
臺東縣,成功,961
臺東縣,長濱,962
臺東縣,太麻里,963
臺東縣,金峰,964
臺東縣,大武,965
臺東縣,達仁,966
花蓮縣,花蓮,970
花蓮縣,新城,971
花蓮縣,秀林,972
花蓮縣,吉安,973
花蓮縣,壽豐,974
花蓮縣,鳳林,975
花蓮縣,光復,976
